platform,publisher,kind,field,presence_rate,n_payloads,n_items,feed_url,page
opendata.leisurecloud.live,Active Leeds,ScheduledSession,attendeeInstructions,0.0,128,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Leeds,ScheduledSession,superEvent,1.0,128,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,0
opendata.leisurecloud.live,Active Leeds,ScheduledSession,activity,0.0,478,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Leeds,ScheduledSession,category,0.0,478,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Leeds,ScheduledSession,organizer,0.0,478,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Leeds,ScheduledSession,offers,0.0,478,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Leeds,ScheduledSession,location,0.0,478,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Leeds,ScheduledSession,name,0.0,478,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Leeds,ScheduledSession,description,0.0,478,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Leeds,ScheduledSession,eventSchedule,0.0,478,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Leeds,ScheduledSession,ageRange,0.0,478,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Leeds,ScheduledSession,genderRestriction,0.0,478,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Leeds,ScheduledSession,level,0.0,478,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Leeds,ScheduledSession,url,0.0,478,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Leeds,ScheduledSession,attendeeInstructions,0.0,478,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Leeds,ScheduledSession,superEvent,1.0,478,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-scheduled-sessions,1
opendata.leisurecloud.live,Active Leeds,FacilityUse,activity,0.0,80,80,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,0
opendata.leisurecloud.live,Active Leeds,FacilityUse,category,1.0,80,80,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,0
opendata.leisurecloud.live,Active Leeds,FacilityUse,organizer,0.0,80,80,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,0
opendata.leisurecloud.live,Active Leeds,FacilityUse,offers,1.0,80,80,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,0
opendata.leisurecloud.live,Active Leeds,FacilityUse,location,1.0,80,80,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,0
opendata.leisurecloud.live,Active Leeds,FacilityUse,name,1.0,80,80,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,0
opendata.leisurecloud.live,Active Leeds,FacilityUse,description,0.0,80,80,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,0
opendata.leisurecloud.live,Active Leeds,FacilityUse,eventSchedule,0.0,80,80,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,0
opendata.leisurecloud.live,Active Leeds,FacilityUse,ageRange,0.0,80,80,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,0
opendata.leisurecloud.live,Active Leeds,FacilityUse,genderRestriction,0.0,80,80,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,0
opendata.leisurecloud.live,Active Leeds,FacilityUse,level,0.0,80,80,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,0
opendata.leisurecloud.live,Active Leeds,FacilityUse,url,1.0,80,80,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,0
opendata.leisurecloud.live,Active Leeds,FacilityUse,attendeeInstructions,0.4625,80,80,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,0
opendata.leisurecloud.live,Active Leeds,FacilityUse,superEvent,0.0,80,80,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-facility-uses,0
opendata.leisurecloud.live,Active Leeds,Slot,activity,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,0
opendata.leisurecloud.live,Active Leeds,Slot,category,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,0
opendata.leisurecloud.live,Active Leeds,Slot,organizer,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,0
opendata.leisurecloud.live,Active Leeds,Slot,offers,1.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,0
opendata.leisurecloud.live,Active Leeds,Slot,location,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,0
opendata.leisurecloud.live,Active Leeds,Slot,name,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,0
opendata.leisurecloud.live,Active Leeds,Slot,description,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,0
opendata.leisurecloud.live,Active Leeds,Slot,eventSchedule,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,0
opendata.leisurecloud.live,Active Leeds,Slot,ageRange,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,0
opendata.leisurecloud.live,Active Leeds,Slot,genderRestriction,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,0
opendata.leisurecloud.live,Active Leeds,Slot,level,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,0
opendata.leisurecloud.live,Active Leeds,Slot,url,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,0
opendata.leisurecloud.live,Active Leeds,Slot,attendeeInstructions,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,0
opendata.leisurecloud.live,Active Leeds,Slot,superEvent,0.0,500,500,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,0
opendata.leisurecloud.live,Active Leeds,Slot,activity,0.0,499,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,1
opendata.leisurecloud.live,Active Leeds,Slot,category,0.0,499,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,1
opendata.leisurecloud.live,Active Leeds,Slot,organizer,0.0,499,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,1
opendata.leisurecloud.live,Active Leeds,Slot,offers,1.0,499,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,1
opendata.leisurecloud.live,Active Leeds,Slot,location,0.0,499,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,1
opendata.leisurecloud.live,Active Leeds,Slot,name,0.0,499,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,1
opendata.leisurecloud.live,Active Leeds,Slot,description,0.0,499,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,1
opendata.leisurecloud.live,Active Leeds,Slot,eventSchedule,0.0,499,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,1
opendata.leisurecloud.live,Active Leeds,Slot,ageRange,0.0,499,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,1
opendata.leisurecloud.live,Active Leeds,Slot,genderRestriction,0.0,499,499,https://opendata.leisurecloud.live/api/feeds/ActiveLeeds-live-slots,1
