platform,publisher,kind,field,presence_rate,n_items
openactive.io,Better,ScheduledSession,genderRestriction,0.0,500
openactive.io,Better,ScheduledSession,level,0.0,500
openactive.io,Better,ScheduledSession,url,1.0,500
openactive.io,Better,ScheduledSession,attendeeInstructions,0.0,500
openactive.io,Better,ScheduledSession,superEvent,1.0,500
openactive.io,Better,FacilityUse,activity,0.0,500
openactive.io,Better,FacilityUse,category,0.0,500
openactive.io,Better,FacilityUse,organizer,0.0,500
openactive.io,Better,FacilityUse,offers,0.0,500
openactive.io,Better,FacilityUse,location,1.0,500
openactive.io,Better,FacilityUse,name,1.0,500
openactive.io,Better,FacilityUse,description,0.814,500
openactive.io,Better,FacilityUse,eventSchedule,0.0,500
openactive.io,Better,FacilityUse,ageRange,0.0,500
openactive.io,Better,FacilityUse,genderRestriction,0.0,500
openactive.io,Better,FacilityUse,level,0.0,500
openactive.io,Better,FacilityUse,url,1.0,500
openactive.io,Better,FacilityUse,attendeeInstructions,0.0,500
openactive.io,Better,FacilityUse,superEvent,0.0,500
openactive.io,Better,Slot,activity,0.0,500
openactive.io,Better,Slot,category,0.0,500
openactive.io,Better,Slot,organizer,0.0,500
openactive.io,Better,Slot,offers,1.0,500
openactive.io,Better,Slot,location,0.0,500
openactive.io,Better,Slot,name,0.0,500
openactive.io,Better,Slot,description,0.0,500
openactive.io,Better,Slot,eventSchedule,0.0,500
openactive.io,Better,Slot,ageRange,0.0,500
openactive.io,Better,Slot,genderRestriction,0.0,500
openactive.io,Better,Slot,level,0.0,500
openactive.io,Better,Slot,url,0.978,500
openactive.io,Better,Slot,attendeeInstructions,0.0,500
openactive.io,Better,Slot,superEvent,0.0,500
openactive.io,Bookwhen,SessionSeries,activity,1.0,50
openactive.io,Bookwhen,SessionSeries,category,0.5294,50
openactive.io,Bookwhen,SessionSeries,organizer,1.0,50
openactive.io,Bookwhen,SessionSeries,offers,0.0,50
openactive.io,Bookwhen,SessionSeries,location,0.4118,50
openactive.io,Bookwhen,SessionSeries,name,1.0,50
openactive.io,Bookwhen,SessionSeries,description,0.9412,50
openactive.io,Bookwhen,SessionSeries,eventSchedule,1.0,50
openactive.io,Bookwhen,SessionSeries,ageRange,0.0,50
openactive.io,Bookwhen,SessionSeries,genderRestriction,1.0,50
openactive.io,Bookwhen,SessionSeries,level,0.4118,50
openactive.io,Bookwhen,SessionSeries,url,1.0,50
openactive.io,Bookwhen,SessionSeries,attendeeInstructions,0.5882,50
openactive.io,Bookwhen,SessionSeries,superEvent,0.0,50
app.bookteq.com,Actihire,FacilityUse,activity,0.0,1000
app.bookteq.com,Actihire,FacilityUse,category,0.0,1000
app.bookteq.com,Actihire,FacilityUse,organizer,0.0,1000
app.bookteq.com,Actihire,FacilityUse,offers,0.0,1000
app.bookteq.com,Actihire,FacilityUse,location,1.0,1000
app.bookteq.com,Actihire,FacilityUse,name,1.0,1000
app.bookteq.com,Actihire,FacilityUse,description,0.0,1000
app.bookteq.com,Actihire,FacilityUse,eventSchedule,0.0,1000
app.bookteq.com,Actihire,FacilityUse,ageRange,0.0,1000
app.bookteq.com,Actihire,FacilityUse,genderRestriction,0.0,1000
app.bookteq.com,Actihire,FacilityUse,level,0.0,1000
app.bookteq.com,Actihire,FacilityUse,url,1.0,1000
app.bookteq.com,Actihire,FacilityUse,attendeeInstructions,0.0,1000
app.bookteq.com,Actihire,FacilityUse,superEvent,0.0,1000
app.bookteq.com,Actihire,Slot,activity,0.0,1000
app.bookteq.com,Actihire,Slot,category,0.0,1000
app.bookteq.com,Actihire,Slot,organizer,0.0,1000
app.bookteq.com,Actihire,Slot,offers,1.0,1000
app.bookteq.com,Actihire,Slot,location,0.0,1000
app.bookteq.com,Actihire,Slot,name,0.0,1000
app.bookteq.com,Actihire,Slot,description,0.0,1000
app.bookteq.com,Actihire,Slot,eventSchedule,0.0,1000
app.bookteq.com,Actihire,Slot,ageRange,0.0,1000
app.bookteq.com,Actihire,Slot,genderRestriction,0.0,1000
app.bookteq.com,Actihire,Slot,level,0.0,1000
app.bookteq.com,Actihire,Slot,url,0.0,1000
app.bookteq.com,Actihire,Slot,attendeeInstructions,0.0,1000
app.bookteq.com,Actihire,Slot,superEvent,0.0,1000
app.bookteq.com,Brea Avalon LLP,FacilityUse,activity,0.0,14
app.bookteq.com,Brea Avalon LLP,FacilityUse,category,0.0,14
app.bookteq.com,Brea Avalon LLP,FacilityUse,organizer,0.0,14
app.bookteq.com,Brea Avalon LLP,FacilityUse,offers,0.0,14
app.bookteq.com,Brea Avalon LLP,FacilityUse,location,1.0,14
app.bookteq.com,Brea Avalon LLP,FacilityUse,name,1.0,14
app.bookteq.com,Brea Avalon LLP,FacilityUse,description,0.0,14
app.bookteq.com,Brea Avalon LLP,FacilityUse,eventSchedule,0.0,14
app.bookteq.com,Brea Avalon LLP,FacilityUse,ageRange,0.0,14
app.bookteq.com,Brea Avalon LLP,FacilityUse,genderRestriction,0.0,14
app.bookteq.com,Brea Avalon LLP,FacilityUse,level,0.0,14
app.bookteq.com,Brea Avalon LLP,FacilityUse,url,1.0,14
app.bookteq.com,Brea Avalon LLP,FacilityUse,attendeeInstructions,0.0,14
app.bookteq.com,Brea Avalon LLP,FacilityUse,superEvent,0.0,14
app.bookteq.com,Brea Avalon LLP,Slot,activity,0.0,972
app.bookteq.com,Brea Avalon LLP,Slot,category,0.0,972
app.bookteq.com,Brea Avalon LLP,Slot,organizer,0.0,972
app.bookteq.com,Brea Avalon LLP,Slot,offers,1.0,972
app.bookteq.com,Brea Avalon LLP,Slot,location,0.0,972
app.bookteq.com,Brea Avalon LLP,Slot,name,0.0,972
app.bookteq.com,Brea Avalon LLP,Slot,description,0.0,972
app.bookteq.com,Brea Avalon LLP,Slot,eventSchedule,0.0,972
app.bookteq.com,Brea Avalon LLP,Slot,ageRange,0.0,972
app.bookteq.com,Brea Avalon LLP,Slot,genderRestriction,0.0,972
app.bookteq.com,Brea Avalon LLP,Slot,level,0.0,972
app.bookteq.com,Brea Avalon LLP,Slot,url,0.0,972
app.bookteq.com,Brea Avalon LLP,Slot,attendeeInstructions,0.0,972
app.bookteq.com,Brea Avalon LLP,Slot,superEvent,0.0,972
app.bookteq.com,Appleby Frodingham Sports Club,FacilityUse,activity,0.0,22
app.bookteq.com,Appleby Frodingham Sports Club,FacilityUse,category,0.0,22
app.bookteq.com,Appleby Frodingham Sports Club,FacilityUse,organizer,0.0,22
app.bookteq.com,Appleby Frodingham Sports Club,FacilityUse,offers,0.0,22
app.bookteq.com,Appleby Frodingham Sports Club,FacilityUse,location,1.0,22
app.bookteq.com,Appleby Frodingham Sports Club,FacilityUse,name,1.0,22
app.bookteq.com,Appleby Frodingham Sports Club,FacilityUse,description,0.0,22
app.bookteq.com,Appleby Frodingham Sports Club,FacilityUse,eventSchedule,0.0,22
app.bookteq.com,Appleby Frodingham Sports Club,FacilityUse,ageRange,0.0,22
app.bookteq.com,Appleby Frodingham Sports Club,FacilityUse,genderRestriction,0.0,22
app.bookteq.com,Appleby Frodingham Sports Club,FacilityUse,level,0.0,22
