catalogue,site,publisher,licence,status
openactive.io,https://www.goodgym.org/api/openactive/,Good Gym,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://openactive.opensessions.io/,Open Sessions,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://ourparks.org.uk/openactive,Our Parks,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://playwaze.com/opendata/openactive,Playwaze,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://data.runtogether.co.uk/,,,ERROR_NO_JSONLD
openactive.io,https://sportstarta.github.io/,SportStarta.com,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://openactive.upshot.org.uk/,Upshot,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://opendata.exercise-anywhere.com/,Exercise Anywhere,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://www.sportsuite.co.uk/odapikey/datasite,SportSuite,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://goteamup.com/api/openactive/v1/,TeamUp,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://openactive.played.co/openactive/,Played,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://api.premiertennis.co.uk/openactive,Courtside Hubs CIC,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://partners.playfootball.net/OpenActive/,PlayFootball,https://creativecommons.org/licenses/by/4.0/,COMPLETE
openactive.io,https://api.findmyfacility.com/v1/openactive,Find My Facility,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://actihire.bookteq.com/api/open-active,Actihire,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://ajnstadium.bookteq.com/api/open-active,Brea Avalon LLP,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://ajsports.bookteq.com/api/open-active,Playfinder,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://anemoslimited.bookteq.com/api/open-active,,,ERROR_HTTP_404
app.bookteq.com,https://appleby.bookteq.com/api/open-active,Appleby Frodingham Sports Club,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://ashmoletrust.bookteq.com/api/open-active,Ashmole Trust,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://awesomecic.bookteq.com/api/open-active,Awesome CIC,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://bangorcitystadium.bookteq.com/api/open-active,Bangor City Stadium,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://basingstokewellbeing.bookteq.com/api/open-active,Basingstoke Wellbeing,https://creativecommons.org/licenses/by/4.0/,COMPLETE
app.bookteq.com,https://beaconsfieldtownfc.bookteq.com/api/open-active,,,ERROR_HTTP_404
