level,url,status,seconds,platform,publisher,kind,declared
feed,https://opendata.leisurecloud.live/api/feeds/Castlepoint-live-slots,COMPLETE,0.09,opendata.leisurecloud.live,Castlepoint,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/Castlepoint-live-slots?afterTimestamp=108521304&afterId=WMGENIRE6_2026-07-15T21-00-00,COMPLETE,0.13,opendata.leisurecloud.live,Castlepoint,Slot,
site,https://chelmsfordcitysports.gs-signature.cloud/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Chelmsford City Sports,,5
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-course-instance,COMPLETE,0.1,opendata.leisurecloud.live,Chelmsford City Sports,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-course-instance?afterTimestamp=43042870&afterId=C707060940,COMPLETE,0.09,opendata.leisurecloud.live,Chelmsford City Sports,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-session-series,COMPLETE,0.13,opendata.leisurecloud.live,Chelmsford City Sports,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-session-series?afterTimestamp=40881362&afterId=C6CLDAA09450125,COMPLETE,0.13,opendata.leisurecloud.live,Chelmsford City Sports,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-scheduled-sessions,COMPLETE,0.09,opendata.leisurecloud.live,Chelmsford City Sports,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-scheduled-sessions?afterTimestamp=44347544&afterId=00000000000010519087,COMPLETE,0.09,opendata.leisurecloud.live,Chelmsford City Sports,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-facility-uses,COMPLETE,0.11,opendata.leisurecloud.live,Chelmsford City Sports,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-facility-uses?afterTimestamp=44337604&afterId=CQUICKINDUCTION,COMPLETE,0.12,opendata.leisurecloud.live,Chelmsford City Sports,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-slots,COMPLETE,0.14,opendata.leisurecloud.live,Chelmsford City Sports,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-slots?afterTimestamp=42607341&afterId=CFOOTBALL_2026-07-15T19-00-00,COMPLETE,0.13,opendata.leisurecloud.live,Chelmsford City Sports,Slot,
site,https://chelmsfordcitysports.leisurecloud.net/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Chelmsford City Sports,,5
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-course-instance,COMPLETE,0.09,opendata.leisurecloud.live,Chelmsford City Sports,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-course-instance?afterTimestamp=43042870&afterId=C707060940,COMPLETE,0.08,opendata.leisurecloud.live,Chelmsford City Sports,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-session-series,COMPLETE,0.11,opendata.leisurecloud.live,Chelmsford City Sports,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-session-series?afterTimestamp=40881362&afterId=C6CLDAA09450125,COMPLETE,0.1,opendata.leisurecloud.live,Chelmsford City Sports,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-scheduled-sessions,COMPLETE,0.08,opendata.leisurecloud.live,Chelmsford City Sports,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-scheduled-sessions?afterTimestamp=44347544&afterId=00000000000010519087,COMPLETE,0.09,opendata.leisurecloud.live,Chelmsford City Sports,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-facility-uses,COMPLETE,0.09,opendata.leisurecloud.live,Chelmsford City Sports,FacilityUse,
