platform,publisher,kind,field,presence_rate,n_items
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,level,0.0,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,url,1.0,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,attendeeInstructions,0.9,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,superEvent,0.0,10
opendata.leisurecloud.live,Birmingham City Council,Slot,activity,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,category,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,organizer,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,offers,1.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,location,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,name,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,description,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,eventSchedule,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,ageRange,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,genderRestriction,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,level,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,url,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,attendeeInstructions,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,superEvent,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,activity,0.0,499
opendata.leisurecloud.live,Birmingham City Council,Slot,category,0.0,499
opendata.leisurecloud.live,Birmingham City Council,Slot,organizer,0.0,499
opendata.leisurecloud.live,Birmingham City Council,Slot,offers,1.0,499
opendata.leisurecloud.live,Birmingham City Council,Slot,location,0.0,499
opendata.leisurecloud.live,Birmingham City Council,Slot,name,0.0,499
opendata.leisurecloud.live,Birmingham City Council,Slot,description,0.0,499
opendata.leisurecloud.live,Birmingham City Council,Slot,eventSchedule,0.0,499
opendata.leisurecloud.live,Birmingham City Council,Slot,ageRange,0.0,499
opendata.leisurecloud.live,Birmingham City Council,Slot,genderRestriction,0.0,499
opendata.leisurecloud.live,Birmingham City Council,Slot,level,0.0,499
opendata.leisurecloud.live,Birmingham City Council,Slot,url,0.0,499
opendata.leisurecloud.live,Birmingham City Council,Slot,attendeeInstructions,0.0,499
opendata.leisurecloud.live,Birmingham City Council,Slot,superEvent,0.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,activity,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,category,1.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,organizer,1.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,offers,1.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,location,1.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,name,1.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,description,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,eventSchedule,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,ageRange,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,genderRestriction,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,level,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,url,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,attendeeInstructions,1.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,superEvent,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,activity,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,category,1.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,organizer,1.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,offers,0.998,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,location,1.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,name,1.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,description,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,eventSchedule,1.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,ageRange,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,genderRestriction,0.998,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,level,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,url,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,attendeeInstructions,0.966,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,superEvent,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,activity,0.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,category,1.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,organizer,1.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,offers,1.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,location,1.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,name,1.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,description,0.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,eventSchedule,1.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,ageRange,0.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,genderRestriction,1.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,level,0.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,url,0.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,attendeeInstructions,0.998,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,superEvent,0.0,499
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,activity,0.0,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,category,1.0,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,organizer,0.0,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,offers,1.0,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,location,1.0,58
