level,url,status,seconds,platform,publisher,kind,declared
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-slots?afterTimestamp=42607341&afterId=CFOOTBALL_2026-07-15T19-00-00,COMPLETE,0.07,opendata.leisurecloud.live,Chelmsford City Sports,Slot,
site,https://chelmsfordcitysports.leisurecloud.net/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Chelmsford City Sports,,5
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-course-instance,COMPLETE,0.07,opendata.leisurecloud.live,Chelmsford City Sports,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-course-instance?afterTimestamp=43042870&afterId=C707060940,COMPLETE,0.27,opendata.leisurecloud.live,Chelmsford City Sports,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-session-series,COMPLETE,0.09,opendata.leisurecloud.live,Chelmsford City Sports,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-session-series?afterTimestamp=40905051&afterId=C6ISP18051315,COMPLETE,0.11,opendata.leisurecloud.live,Chelmsford City Sports,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-scheduled-sessions,COMPLETE,0.08,opendata.leisurecloud.live,Chelmsford City Sports,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-scheduled-sessions?afterTimestamp=44347544&afterId=00000000000010519087,COMPLETE,0.12,opendata.leisurecloud.live,Chelmsford City Sports,ScheduledSession,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-facility-uses,COMPLETE,0.08,opendata.leisurecloud.live,Chelmsford City Sports,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-facility-uses?afterTimestamp=44337604&afterId=CQUICKINDUCTION,COMPLETE,0.09,opendata.leisurecloud.live,Chelmsford City Sports,FacilityUse,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-slots,COMPLETE,0.11,opendata.leisurecloud.live,Chelmsford City Sports,Slot,
feed,https://opendata.leisurecloud.live/api/feeds/ChelmsfordCitySports-live-slots?afterTimestamp=42743016&afterId=DWELCOMEINDUCT_2026-07-16T07-30-00,COMPLETE,0.14,opendata.leisurecloud.live,Chelmsford City Sports,Slot,
site,https://connect.pembrokeshire.gov.uk/OpenActive/,COMPLETE,,opendata.leisurecloud.live,Pembrokeshire Leisure,,5
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-course-instance,COMPLETE,0.13,opendata.leisurecloud.live,Pembrokeshire Leisure,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-course-instance?afterTimestamp=0&afterId=,COMPLETE,0.11,opendata.leisurecloud.live,Pembrokeshire Leisure,CourseInstance,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-session-series,COMPLETE,0.09,opendata.leisurecloud.live,Pembrokeshire Leisure,SessionSeries,
feed,https://opendata.leisurecloud.live/api/feeds/Pembrokeshire-live-session-series?afterTimestamp=237993635&afterId=PLCMX4THUREVE,COMPLETE,0.21,opendata.leisurecloud.live,Pembrokeshire Leisure,SessionSeries,
