publisher,child_id,parent_id,child_fields,parent_fields,inheritable,source_absent
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/40005054,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3S1200CLA0526,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50050919,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1215CLVIR0526,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|genderRestriction|identifier|location|name|offers|organizer|url,name|category|offers|organizer|location|eventSchedule|url|genderRestriction|attendeeInstructions,activity|description|ageRange|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50055658,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1130BSSPY0626,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50073339,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1200BSLSM0726,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|genderRestriction|identifier|location|name|offers|organizer|url,name|category|offers|organizer|location|eventSchedule|url|genderRestriction|attendeeInstructions,activity|description|ageRange|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50055667,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1230BSSPY0626,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50055595,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1300BSSPY0526,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50055676,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1330BSSPY0626,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50034016,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1400CLVCR0526,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|genderRestriction|identifier|location|name|offers|organizer|url,name|category|offers|organizer|location|eventSchedule|url|genderRestriction|attendeeInstructions,activity|description|ageRange|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50033942,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1330CLVIR0626,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|genderRestriction|identifier|location|name|offers|organizer|url,name|category|offers|organizer|location|eventSchedule|url|genderRestriction|attendeeInstructions,activity|description|ageRange|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50055604,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1400BSSPY0526,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50055685,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1430BSSPY0626,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/30035474,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/315CLHYD0225,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50074197,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1430BSLSM0726,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|genderRestriction|identifier|location|name|offers|organizer|url,name|category|offers|organizer|location|eventSchedule|url|genderRestriction|attendeeInstructions,activity|description|ageRange|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50055613,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1500BSSPY0526,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50055694,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1530BSSPY0626,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50073651,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1600BSLSM0726,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|genderRestriction|identifier|location|name|offers|organizer|url,name|category|offers|organizer|location|eventSchedule|url|genderRestriction|attendeeInstructions,activity|description|ageRange|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50055703,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1630BSSPY0626,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
Active_Hartlepool,https://activehartlepool.gs-signature.cloud/OpenActive/api/scheduled-sessions/50055631,https://activehartlepool.gs-signature.cloud/OpenActive/api/session-series/3H1700BSSPY0526,beta:sportsActivityLocation|duration|endDate|identifier|maximumAttendeeCapacity|remainingAttendeeCapacity|startDate|superEvent,attendeeInstructions|category|duration|eventSchedule|identifier|location|name|offers|superEvent|url,name|category|offers|location|eventSchedule|url|attendeeInstructions,activity|organizer|description|ageRange|genderRestriction|level
